,Places,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,Labels
18,Papayou,2.0168490409851074,-8.202006340026855,8.679176330566406,0.2624082863330841,0.9021013975143433,7.089497089385986,1.9806522130966187,-5.681353569030762,-0.7817530632019043,-0.8931795358657837,4.911183834075928,-3.0820910930633545,-2.8585078716278076,0.05908452346920967,-1.0975576639175415,-5.810764312744141,8.019503593444824,2.478746175765991,1.5877870321273804,0.5891417264938354,Restaurant
19,La Storia,4.972435474395752,-4.895662307739258,1.9611759185791016,1.1256189346313477,0.6351153254508972,0.3926104009151459,-6.556110858917236,0.25736579298973083,0.9095925688743591,1.3804432153701782,10.320296287536621,-3.1618807315826416,4.649350643157959,-7.001591682434082,0.28755125403404236,-2.132591485977173,-2.0942344665527344,-5.332515239715576,2.9310665130615234,-1.6651289463043213,Restaurant
20,Le p'tit resto,3.8993237018585205,-9.23408031463623,4.005904674530029,-3.317173957824707,-2.3185229301452637,-2.1215410232543945,4.782200813293457,-4.122694492340088,-1.311102271080017,6.477444648742676,4.463973045349121,-5.716950416564941,-2.8461320400238037,-0.7593749165534973,-1.620152235031128,-5.885459899902344,0.1964375227689743,0.9571025967597961,-0.6197620630264282,-4.8387770652771,Restaurant
21,La Cambuse,5.067458152770996,-7.6252312660217285,6.303759574890137,0.011695251800119877,-1.606586217880249,4.725077152252197,-3.0174148082733154,-3.9878225326538086,4.204191207885742,-1.538726806640625,3.6726467609405518,-2.942763566970825,2.489169120788574,-1.8196932077407837,4.780153274536133,-1.4897431135177612,0.49289801716804504,1.5821268558502197,1.4748457670211792,1.320723295211792,Restaurant
22,Les Pêcheurs,-0.8282347917556763,-1.648872971534729,7.5769758224487305,0.4359584450721741,1.1094563007354736,1.5667864084243774,-0.9422386288642883,-3.4387974739074707,-1.7467894554138184,-0.41923731565475464,2.416201114654541,-1.801159143447876,1.3723324537277222,-3.2166872024536133,-1.526853084564209,-4.242129325866699,6.784233093261719,-1.995602011680603,-1.837301254272461,0.3098406195640564,Restaurant
23,La Pizza Cresci,0.5161080956459045,-3.8830530643463135,3.082933187484741,8.139375686645508,-5.520806789398193,6.010321140289307,2.5332467555999756,-0.9549533128738403,1.9634387493133545,5.750312328338623,13.477651596069336,-2.1229684352874756,3.4091267585754395,-1.371856927871704,-6.054117202758789,-0.4553573727607727,-0.2622882127761841,-0.9508247971534729,2.080146551132202,-0.7215599417686462,Restaurant
24,Galeries Lafayette,0.7749507427215576,1.2315647602081299,3.02675199508667,2.736227035522461,-2.9889211654663086,8.12466049194336,8.058453559875488,-2.1168324947357178,-2.0298519134521484,1.9057008028030396,9.04143238067627,3.775765895843506,2.048060417175293,-6.1821112632751465,-5.361678600311279,-0.6704596281051636,5.441527366638184,1.9446810483932495,7.588918685913086,1.6446974277496338,Shopping
25,La Maison de Marie,-2.037966728210449,-4.5697526931762695,6.012679576873779,1.5561554431915283,-2.278691053390503,-1.9594687223434448,0.1911344677209854,-2.5036725997924805,4.969448566436768,0.2993766665458679,6.422702789306641,-4.549875259399414,1.1880824565887451,-2.9388036727905273,0.7132769227027893,1.0077553987503052,8.412507057189941,3.470001220703125,-0.6551603078842163,-4.207464694976807,Restaurant
26,Subway,3.930324077606201,-7.630086898803711,-2.554678440093994,-1.0026969909667969,0.5410082340240479,0.23481617867946625,-0.5077798366546631,-0.5626078844070435,0.7065874338150024,0.39490097761154175,5.0390095710754395,-0.1804979145526886,5.799657821655273,-6.04386568069458,0.4243415296077728,-2.100968837738037,-1.1229629516601562,-0.5063083171844482,1.9355086088180542,0.9831814765930176,Restaurant
27,Fred's,5.5576934814453125,-7.014477729797363,3.3102304935455322,0.2874916195869446,4.265556812286377,-2.7605113983154297,0.14346295595169067,4.64033317565918,0.9998288154602051,-3.1770951747894287,9.690180778503418,4.414975643157959,0.8808996081352234,-2.5001399517059326,1.65275239944458,-2.7816123962402344,1.589875340461731,-0.21951143443584442,-2.104461908340454,2.5697405338287354,Restaurant
28,Le Provençal,-0.5977042317390442,-4.166377067565918,4.966716766357422,3.3714802265167236,0.220404252409935,-2.275987386703491,-0.32180771231651306,-0.12435172498226166,-0.04211890697479248,0.5899065136909485,5.639896392822266,-4.4581475257873535,1.200085163116455,-3.102565288543701,0.3027101457118988,0.08193311095237732,3.4311532974243164,1.1763123273849487,-1.4779517650604248,0.2937813401222229,Restaurant
29,Phaselec,3.4789960384368896,-1.637283205986023,0.6440646648406982,3.128293752670288,-1.805566430091858,-1.1896605491638184,1.6080466508865356,0.3625562787055969,1.3814362287521362,-1.0830276012420654,4.366572856903076,2.4220759868621826,-0.26141539216041565,-0.3928111493587494,-3.334918260574341,-3.3813014030456543,2.1460464000701904,-1.940595030784607,0.997977614402771,-1.0459983348846436,Other
30,Le Wyc,0.7431896328926086,-4.90843391418457,1.9963905811309814,0.5994605422019958,1.877137541770935,1.4997986555099487,-0.3470906615257263,0.456699013710022,4.611264228820801,3.702489137649536,7.506265163421631,-3.4210023880004883,5.523702144622803,-0.8567807674407959,2.983292818069458,-2.3762879371643066,2.613973379135132,1.4086737632751465,-0.15308547019958496,1.8239701986312866,Restaurant
31,Aqualand,10.22851276397705,-3.063722610473633,-1.2107815742492676,-0.5824958086013794,2.42264986038208,2.4875926971435547,7.712300777435303,-4.089407920837402,6.500040054321289,-0.9816752076148987,1.0627208948135376,4.6687846183776855,-1.3276431560516357,-4.155012130737305,-2.4893603324890137,-3.0030996799468994,3.003351926803589,-3.378506660461426,6.767335891723633,-3.2276828289031982,Entertainment
32,La Tarte Tropezienne,4.897335529327393,-5.407305717468262,-0.9572064280509949,0.23785042762756348,0.45936891436576843,2.296902656555176,2.493650436401367,-4.241308689117432,-3.183257579803467,-0.6619852185249329,5.310059070587158,-2.1978042125701904,-1.688201665878296,-9.841429710388184,-3.983884334564209,0.31812208890914917,2.2817554473876953,5.021809101104736,5.133605480194092,0.10377383977174759,Restaurant
33,E.Leclerc,-1.8423720598220825,1.103377342224121,-2.7678279876708984,0.662312924861908,-1.485083818435669,-1.0077451467514038,5.18001651763916,0.1566094309091568,5.40914249420166,0.7083563208580017,2.8767049312591553,0.6403321027755737,1.2187871932983398,-8.250788688659668,0.8527406454086304,0.1824152171611786,3.281071901321411,1.729207158088684,4.612975597381592,2.7966487407684326,Restaurant
34,Carrefour Puget sur Argens,1.1108002662658691,-0.4224766790866852,7.321152210235596,0.048315778374671936,-2.4578583240509033,-2.3078174591064453,5.923459529876709,-3.48801589012146,4.611311435699463,1.491534948348999,-1.8590718507766724,1.7569471597671509,2.5441181659698486,-1.7839292287826538,-3.414032220840454,-0.6587449312210083,-0.8508248329162598,1.8014450073242188,4.270777702331543,3.2100586891174316,Grocery
